0.50459,41,236,47,0.244481,0.436034,443,409,11,5,4,187,48,46,121,117,183,1,0.440668,739,725,56,0,0.440668,739,2,4,8,22,3,938,1812,72,120,15,22,66,0,55,16,328,487,8,310,146,938,1812,72,120,15,22,66,0,55,16,328,487,8,310,146,N
0.395037,13,149,32,0.283292,0.406793,568,515,30,9,6,324,29,36,106,58,110,1,0.327311,616,567,52,0,0.327311,616,0,0,0,0,0,1266,2005,0,0,0,0,52,0,51,0,52,902,0,51,0,1266,2005,0,0,0,0,52,0,51,0,52,902,0,51,0,N
0.108969,4,17,5,0.0522766,0.10299,62,62,1,3,3,149,5,12,72,20,74,1,0.465839,525,496,48,0,0.465839,525,1,1,0,0,1,602,1186,17,23,11,20,54,0,47,4,73,349,0,62,7,602,1186,17,23,11,20,54,0,47,4,73,349,0,62,7,N
0.552359,121,1095,195,0.267651,0.501767,1486,1420,6,6,6,705,53,87,212,149,378,1,0.451869,2333,2229,208,0,0.451869,2333,2,11,2,2,7,2830,5552,92,87,62,67,229,5,207,68,293,1700,16,260,87,2830,5552,92,87,62,67,229,5,207,68,293,1700,16,260,87,Y
0.508547,17,87,17,0.22763,0.479167,145,138,1,4,4,76,4,40,110,15,49,1,0.518395,310,296,35,0,0.518395,310,1,1,0,0,1,288,637,11,11,5,8,34,0,34,1,53,157,0,49,4,288,637,11,11,5,8,34,0,34,1,53,157,0,49,4,N
0.615819,2,6,2,0.252101,0.5,30,26,5,2,2,14,2,2,7,9,17,1,0.514019,55,55,7,0,0.514019,55,1,1,0,0,1,52,119,5,1,0,1,8,0,6,1,21,29,1,11,1,52,119,5,1,0,1,8,0,6,1,21,29,1,11,1,Y
0.42243,6,40,11,0.200397,0.404082,101,99,1,3,3,55,5,3,24,15,42,1,0.468547,216,216,26,0,0.468547,216,1,1,0,0,1,245,504,18,15,12,12,27,0,25,2,46,134,0,40,5,245,504,18,15,12,12,27,0,25,2,46,134,0,40,5,N
0.277067,9,38,9,0.18638,0.32967,104,90,1,5,5,61,3,1,22,4,29,1,0.464706,237,216,23,0,0.464706,237,2,3,0,0,1,273,558,20,12,7,8,25,2,22,0,32,149,15,29,0,273,558,20,12,7,8,25,2,22,0,32,149,15,29,0,Y
0.0675747,2,8,2,0.0255864,0.0521739,24,24,1,3,3,112,6,13,52,21,65,1,0.471871,411,383,45,0,0.471871,411,1,1,0,0,1,460,938,15,19,9,16,44,0,44,4,63,265,0,59,7,460,938,15,19,9,16,44,0,44,4,63,265,0,59,7,N
0,0,0,0,0,0,0,0,1,0,0,2,1,3,6,0,2,1,0.565217,13,13,3,0,0.565217,13,1,1,0,0,1,10,23,0,0,0,0,2,0,2,0,2,2,0,2,0,10,23,0,0,0,0,2,0,2,0,2,2,0,2,0,Y
0,0,0,0,0,0,0,0,14,5,2,71,2,26,46,3,24,1,0.410204,201,199,21,0,0.410204,201,0,0,0,0,0,289,519,1,1,1,1,21,0,20,0,21,187,0,20,0,289,519,1,1,1,1,21,0,20,0,21,187,0,20,0,N
0.230422,12,65,13,0.137405,0.216216,72,64,1,4,4,63,28,2,6,55,76,1,0.37155,175,160,19,0,0.37155,175,2,6,0,0,1,296,524,37,27,8,8,21,0,18,6,81,182,11,68,23,296,524,37,27,8,8,21,0,18,6,81,182,11,68,23,N
0.110913,16,86,17,0.0932203,0.121884,44,44,1,6,2,70,10,4,8,24,34,1,0.199557,90,87,6,0,0.199557,90,1,1,0,0,1,361,472,6,0,6,0,10,0,5,0,10,217,0,5,0,361,472,6,0,6,0,10,0,5,0,10,217,0,5,0,N
0.556604,100,843,157,0.26948,0.503284,1290,1226,3,6,6,600,43,83,195,127,327,1,0.449616,1990,1911,182,0,0.449616,1990,2,9,2,2,5,2436,4787,83,81,54,62,200,5,181,60,259,1446,16,230,77,2436,4787,83,81,54,62,200,5,181,60,259,1446,16,230,77,Y
0.472427,95,724,132,0.22125,0.430688,860,814,6,6,6,480,46,68,208,113,286,1,0.469399,1672,1606,159,0,0.469399,1672,2,9,2,2,5,1890,3887,75,73,46,54,173,8,158,50,232,1116,19,207,67,1890,3887,75,73,46,54,173,8,158,50,232,1116,19,207,67,Y
0.331368,76,521,92,0.148307,0.286147,416,378,1,6,5,264,41,13,40,114,228,1,0.483177,1235,1194,97,0,0.483177,1235,2,6,2,2,1,1321,2805,87,66,58,47,114,10,96,44,173,745,21,146,61,1321,2805,87,66,58,47,114,10,96,44,173,745,21,146,61,Y
0.465544,10,57,16,0.257802,0.468927,190,166,1,4,4,95,5,2,21,5,37,1,0.480176,327,312,30,0,0.480176,327,4,9,0,0,2,354,737,8,20,4,19,32,0,29,4,47,189,0,38,5,354,737,8,20,4,19,32,0,29,4,47,189,0,38,5,Y
0.0679663,2,8,2,0.0256137,0.0520607,24,24,1,3,3,112,6,13,51,20,64,1,0.470115,409,381,45,0,0.470115,409,1,1,0,0,1,461,937,15,19,9,16,44,0,44,4,63,264,0,59,7,461,937,15,19,9,16,44,0,44,4,63,264,0,59,7,N
0.361653,5,29,6,0.184343,0.338542,73,65,1,3,3,48,8,6,44,8,30,1,0.473973,173,172,22,0,0.473973,173,2,3,0,0,2,192,396,4,6,4,6,22,0,21,2,22,118,0,21,2,192,396,4,6,4,6,22,0,21,2,22,118,0,21,2,Y
0.334642,7,42,7,0.171779,0.314894,84,74,1,4,4,58,6,6,65,14,37,1,0.476615,214,201,24,0,0.476615,214,2,3,0,0,2,235,489,5,10,5,10,23,0,23,1,23,143,0,23,1,235,489,5,10,5,10,23,0,23,1,23,143,0,23,1,Y
0.475904,93,710,129,0.230619,0.435097,827,781,6,6,6,451,46,68,204,112,271,1,0.451406,1477,1408,145,0,0.451406,1477,2,9,2,2,5,1795,3586,75,73,46,54,159,8,144,48,217,1074,19,193,65,1795,3586,75,73,46,54,159,8,144,48,217,1074,19,193,65,Y
0.443478,3,14,3,0.16,0.421053,16,16,1,1,1,10,2,10,34,5,11,1,0.608247,59,59,7,0,0.608247,59,1,1,0,0,1,38,100,15,14,1,1,6,0,6,1,41,18,0,36,13,38,100,15,14,1,1,6,0,6,1,41,18,0,36,13,N
0.125549,2,9,3,0.0439093,0.105802,31,31,1,2,1,68,9,4,12,28,66,1,0.551988,361,360,38,0,0.551988,361,4,8,2,2,4,293,706,11,33,8,32,38,0,37,0,50,154,0,44,1,293,706,11,33,8,32,38,0,37,0,50,154,0,44,1,N
0.256,5,29,5,0.141463,0.261084,58,53,1,4,4,50,2,3,58,9,30,1,0.46438,176,174,22,0,0.46438,176,0,0,0,0,0,203,410,4,10,4,10,21,0,21,1,21,121,0,21,1,203,410,4,10,4,10,21,0,21,1,21,121,0,21,1,Y
0,0,0,0,0,0,0,0,1,5,5,37,13,1,5,19,37,1,0.493333,185,178,15,0,0.450122,185,3,5,0,0,1,190,407,73,115,10,7,18,0,14,6,313,96,8,296,143,226,448,73,119,10,11,24,0,20,6,319,116,8,302,143,N
0.313253,5,22,5,0.13913,0.333333,16,16,2,1,1,12,2,3,10,0,7,1,0.563636,62,62,8,0,0.563636,62,1,2,0,0,2,48,115,2,3,2,3,7,0,7,0,7,22,0,7,0,48,115,2,3,2,3,7,0,7,0,7,22,0,7,0,N
0.721184,8,75,14,0.50108,0.66113,232,199,1,4,3,50,19,1,9,32,43,1,0.303241,131,112,8,0,0.303241,131,4,6,0,0,3,301,463,80,121,3,2,11,0,7,2,338,163,10,314,148,301,463,80,121,3,2,11,0,7,2,338,163,10,314,148,N
0.299679,52,350,59,0.109237,0.240143,136,134,1,4,2,124,16,42,195,25,85,1,0.502674,564,562,54,0,0.502674,564,0,0,2,16,0,558,1245,39,19,39,19,60,15,53,22,60,287,15,53,22,558,1245,39,19,39,19,60,15,53,22,60,287,15,53,22,N
